<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241030;095906;8682;1;2030872760472832823;B
20241030;095906;8682;1;2030872760472832824;B
20241030;095906;8682;1;2030872760472832825;B
20241030;095906;8682;2;2030872760472832826;B
20241030;095906;8682;1;2030872760472832827;B
20241030;095906;8682;6;2030872760472832828;B
20241030;095906;8682;1;2030872760472832829;B
20241030;095906;8682;2;2030872760472832830;B
20241030;095906;8682;1;2030872760472832831;B
20241030;095906;8682;1;2030872760472832832;B
20241030;095906;8682;1;2030872760472832833;B
20241030;095906;8682;111;2030872760472832834;B
20241030;095906;8682;2;2030872760472832835;B
20241030;095906;8682;1;2030872760472832836;B
20241030;095906;8682;3;2030872760472832837;B
20241030;095906;8682;9;2030872760472832838;B
20241030;095906;8682;1;2030872760472832839;B
20241030;095906;8682;1;2030872760472832840;B
20241030;095906;8682;1;2030872760472832841;B
20241030;095906;8682;1;2030872760472832842;B
20241030;095906;8682;2;2030872760472832843;B
20241030;095906;8682;35;2030872760472832844;B
20241030;095906;8682;27;2030872760472832845;B
20241030;095906;8682;1;2030872760472832846;B
20241030;095906;8682;1;2030872760472832847;B
20241030;095906;8682;1;2030872760472832848;B
20241030;095906;8682;1;2030872760472832849;B
20241030;095906;8682;5;2030872760472832850;B
20241030;095906;8682;1;2030872760472832851;B
20241030;095906;8682;3;2030872760472832852;B
20241030;095906;8682;1;2030872760472832853;B
20241030;095906;8682;1;2030872760472832854;B
20241030;095906;8682;1;2030872760472832855;B
20241030;095906;8682;1;2030872760472832856;B
20241030;095906;8682;1;2030872760472832857;B
20241030;095906;8682;1;2030872760472832858;B
20241030;095906;8682;1;2030872760472832859;B
20241030;095906;8682;1;2030872760472832860;B
20241030;095906;8682;1;2030872760472832861;B
20241030;095906;8682;1;2030872760472832862;B
20241030;095906;8682;1;2030872760472832863;B
20241030;095906;8682;10;2030872760472832864;B
20241030;095906;8682;1;2030872760472832865;B
20241030;095906;8682;1;2030872760472832866;B
20241030;095906;8682;1;2030872760472832867;B
20241030;095906;8682;1;2030872760472832868;B
20241030;095906;8682;1;2030872760472832869;B
20241030;095906;8682;1;2030872760472832870;B
20241030;095906;8682;1;2030872760472832871;B
20241030;095906;8682;1;2030872760472832872;B
20241030;095906;8682;1;2030872760472832873;B
20241030;095906;8682;1;2030872760472832874;B
20241030;095906;8682;1;2030872760472832875;B
20241030;095906;8682;1;2030872760472832876;B
20241030;095906;8682;1;2030872760472832877;B
20241030;095906;8682;6;2030872760472832878;B
20241030;095906;8682;1;2030872760472832879;B
20241030;095906;8682;1;2030872760472832880;B
20241030;095906;8682;5;2030872760472832881;B
20241030;095906;8682;1;2030872760472832882;B
20241030;095906;8682;1;2030872760472832883;B
20241030;095906;8682;1;2030872760472832884;B
20241030;095906;8682;1;2030872760472832885;B
20241030;095906;8682;1;2030872760472832886;B
20241030;095906;8682;1;2030872760472832887;B
20241030;095906;8682;1;2030872760472832888;B
20241030;095906;8682;1;2030872760472832889;B
20241030;095906;8682;1;2030872760472832890;B
20241030;095906;8682;4;2030872760472832891;B
20241030;095906;8682;20;2030872760472832892;B
20241030;095906;8682;1;2030872760472832893;B
20241030;095906;8682;1;2030872760472832894;B
20241030;095906;8682;1;2030872760472832895;B
20241030;095906;8682;5;2030872760472832896;B
20241030;095906;8682;2;2030872760472832897;B
20241030;095906;8682;1;2030872760472832898;B
20241030;095906;8682;1;2030872760472832899;B
20241030;095906;8682;1;2030872760472832900;B
20241030;100000;8682;10;2030872760472832901;S
20241030;100000;8683;1;2030872760472832902;B
20241030;100000;8683;1;2030872760472832903;B
20241030;100000;8683;14;2030872760472832904;B
20241030;100000;8682;1;2030872760472832905;S
20241030;100000;8683;1;2030872760472832906;B
20241030;100000;8682;5;2030872760472832907;S
20241030;100000;8682;14;2030872760472832908;S
20241030;100000;8683;5;2030872760472832909;B
20241030;100000;8683;1;2030872760472832910;B
20241030;100000;8683;1;2030872760472832911;B
20241030;100000;8683;3;2030872760472832912;B
20241030;100000;8683.4;1;2030872760472832913;B
20241030;100000;8684;1;2030872760472832914;B
20241030;100000;8684;1;2030872760472832915;B
20241030;100000;8684.4;1;2030872760472832916;B
20241030;100000;8684.4;1;2030872760472832917;B
20241030;100001;8684.9;5;2030872760472832918;B
20241030;100001;8684.9;15;2030872760472832919;B
20241030;100001;8685;1;2030872760472832920;B
20241030;100001;8685;1;2030872760472832921;B
20241030;100001;8685;1;2030872760472832922;B
20241030;100001;8685;11;2030872760472832923;B
20241030;100001;8685;16;2030872760472832924;B
20241030;100001;8685;50;2030872760472832925;B
20241030;100001;8684.4;15;2030872760472832926;S
20241030;100001;8684.9;1;2030872760472832927;B
20241030;100001;8684.9;1;2030872760472832928;B
20241030;100001;8684.4;9;2030872760472832929;S
20241030;100001;8682.8;1;2030872760472832930;S
20241030;100001;8684.9;2;2030872760472832931;B
20241030;100001;8684.9;1;2030872760472832932;B
20241030;100002;8684.9;1;2030872760472832933;B
20241030;100004;8684.6;8;2030872760472832934;B
20241030;100004;8683;1;2030872760472832935;S
20241030;100004;8682.8;49;2030872760472832936;S
20241030;100005;8682.8;50;2030872760472832937;S
20241030;100006;8682.8;50;2030872760472832938;S
20241030;100006;8682.8;50;2030872760472832939;S
20241030;100006;8682.1;1;2030872760472832940;S
20241030;100006;8682;15;2030872760472832941;S
20241030;100006;8681.7;34;2030872760472832942;S
20241030;100006;8681.7;2;2030872760472832943;S
20241030;100007;8682.6;10;2030872760472832944;B
20241030;100007;8681.7;2;2030872760472832945;S
20241030;100007;8681.7;1;2030872760472832946;S
20241030;100010;8682.8;1;2030872760472832947;S
20241030;100010;8682.8;5;2030872760472832948;S
20241030;100011;8682.8;14;2030872760472832949;S
20241030;100011;8681.7;1;2030872760472832950;S
20241030;100011;8681.7;185;2030872760472832951;S
20241030;100013;8682.9;1;2030872760472832952;S
20241030;100013;8684.6;1;2030872760472832953;S
20241030;100018;8684.7;20;2030872760472832954;B
20241030;100018;8684.8;30;2030872760472832955;B
20241030;100018;8681.7;1;2030872760472832956;S
20241030;100019;8684.7;14;2030872760472832957;B
20241030;100022;8681.7;14;2030872760472832958;S
20241030;100026;8682;1;2030872760472832959;B
20241030;100026;8682.9;20;2030872760472832960;B
20241030;100026;8683;12;2030872760472832961;B
20241030;100026;8683.9;7;2030872760472832962;B
20241030;100027;8683.9;13;2030872760472832963;B
20241030;100027;8684;61;2030872760472832964;B
20241030;100029;8683.9;20;2030872760472832965;B
20241030;100029;8684;16;2030872760472832966;B
20241030;100032;8683.6;20;2030872760472832967;S
20241030;100032;8681.7;11;2030872760472832968;S
20241030;100032;8681;19;2030872760472832969;S
20241030;100032;8681;10;2030872760472832970;S
20241030;100032;8681;11;2030872760472832971;S
20241030;100032;8680.1;7;2030872760472832972;S
20241030;100032;8680.4;20;2030872760472832973;S
20241030;100032;8680;5;2030872760472832974;S
20241030;100032;8679.7;20;2030872760472832975;S
20241030;100032;8679.6;5;2030872760472832976;S
20241030;100032;8676;20;2030872760472832977;S
20241030;100032;8675.9;20;2030872760472832978;S
20241030;100032;8675.8;10;2030872760472832979;S
20241030;100032;8675.8;10;2030872760472832980;S
20241030;100032;8680.4;20;2030872760472832981;S
20241030;100032;8675.9;20;2030872760472832982;S
20241030;100032;8675.9;5;2030872760472832983;B
20241030;100032;8675.9;10;2030872760472832984;S
20241030;100032;8675.9;1;2030872760472832985;S
20241030;100033;8675.9;9;2030872760472832986;S
20241030;100033;8675.9;20;2030872760472832987;S
20241030;100033;8675.8;13;2030872760472832988;S
20241030;100033;8675.9;20;2030872760472832989;S
20241030;100033;8675.9;20;2030872760472832990;S
20241030;100033;8675.8;7;2030872760472832991;S
20241030;100033;8675.8;20;2030872760472832992;S
20241030;100033;8675.7;20;2030872760472832993;S
20241030;100033;8675.6;5;2030872760472832994;S
20241030;100033;8675.6;20;2030872760472832995;S
20241030;100033;8675.5;3;2030872760472832996;S
20241030;100033;8675.9;8;2030872760472832997;S
20241030;100033;8676;45;2030872760472832998;B
20241030;100033;8680.5;10;2030872760472832999;B
20241030;100034;8676.1;10;2030872760472833000;B
20241030;100034;8676;8;2030872760472833001;S
20241030;100034;8676;5;2030872760472833002;S
20241030;100036;8676.1;40;2030872760472833003;B
20241030;100036;8680.3;15;2030872760472833004;B
20241030;100037;8676.1;5;2030872760472833005;B
20241030;100037;8676.2;50;2030872760472833006;B
20241030;100038;8676.3;5;2030872760472833007;B
20241030;100038;8676.3;30;2030872760472833008;B
20241030;100039;8676.3;15;2030872760472833009;B
20241030;100039;8678;50;2030872760472833010;S
20241030;100039;8678;18;2030872760472833011;S
20241030;100039;8677.4;20;2030872760472833012;S
20241030;100039;8677.3;12;2030872760472833013;S
20241030;100039;8676.6;50;2030872760472833014;B
