<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241008;095939;22053;1;2025243192219141331;S
20241008;095939;22053;4;2025243192219141332;S
20241008;095939;22053;1;2025243192219141333;S
20241008;095939;22053;50;2025243192219141334;S
20241008;095939;22053;14;2025243192219141335;B
20241008;095939;22053;2;2025243192219141336;S
20241008;095939;22053;2;2025243192219141337;S
20241008;095939;22053;5;2025243192219141338;S
20241008;095939;22053;2;2025243192219141339;S
20241008;095939;22053;35;2025243192219141340;S
20241008;095939;22053;27;2025243192219141341;S
20241008;095939;22053;1;2025243192219141342;S
20241008;095939;22053;72;2025243192219141343;S
20241008;095939;22053;18;2025243192219141344;S
20241008;095939;22053;3;2025243192219141345;S
20241008;095939;22053;12;2025243192219141346;S
20241008;095939;22053;3;2025243192219141347;S
20241008;095939;22053;27;2025243192219141348;B
20241008;095939;22053;4;2025243192219141349;S
20241008;095939;22053;66;2025243192219141350;B
20241008;095939;22053;50;2025243192219141351;S
20241008;095939;22053;84;2025243192219141352;S
20241008;095939;22053;1;2025243192219141353;S
20241008;095939;22053;2;2025243192219141354;B
20241008;095939;22053;13;2025243192219141355;S
20241008;095939;22053;1;2025243192219141356;S
20241008;095939;22053;2;2025243192219141357;S
20241008;095939;22053;98;2025243192219141358;S
20241008;095939;22053;70;2025243192219141359;S
20241008;095939;22053;12;2025243192219141360;S
20241008;095939;22053;2;2025243192219141361;S
20241008;095939;22053;10;2025243192219141362;S
20241008;095939;22053;10;2025243192219141363;S
20241008;095939;22053;10;2025243192219141364;S
20241008;095939;22053;10;2025243192219141365;S
20241008;095939;22053;1;2025243192219141366;S
20241008;095939;22053;195;2025243192219141367;S
20241008;095939;22053;5;2025243192219141368;S
20241008;095939;22053;1;2025243192219141369;S
20241008;095939;22053;130;2025243192219141370;S
20241008;095939;22053;200;2025243192219141371;S
20241008;095939;22053;250;2025243192219141372;S
20241008;095939;22053;19;2025243192219141373;S
20241008;095939;22100;1;2025243192219141385;B
20241008;095939;22100;1;2025243192219141390;B
20241008;095939;22100;1;2025243192219141395;B
20241008;095939;22100;1;2025243192219141400;B
20241008;095939;22100;1;2025243192219141405;B
20241008;095939;22100;1;2025243192219141410;B
20241008;095939;22100;1;2025243192219141415;B
20241008;095939;22100;1;2025243192219141420;B
20241008;095939;22100;1;2025243192219141425;B
20241008;095939;22100;1;2025243192219141430;B
20241008;095939;22100;1;2025243192219141435;B
20241008;095939;22100;1;2025243192219141440;B
20241008;095939;22100;1;2025243192219141445;B
20241008;095939;22100;1;2025243192219141450;B
20241008;095939;22100;1;2025243192219141455;B
20241008;095939;22100;1;2025243192219141460;B
20241008;095939;22100;1;2025243192219141465;B
20241008;100001;22052;10;2025243192219141469;B
20241008;100001;22053;90;2025243192219141470;B
20241008;100001;22019;2;2025243192219141471;S
20241008;100001;22052;1;2025243192219141472;B
