<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241028;095922;2659;2;2033124551696583080;S
20241028;095922;2659;2;2033124551696583081;S
20241028;095922;2659;2;2033124551696583082;S
20241028;095922;2659;1;2033124551696583083;B
20241028;095922;2659;1;2033124551696583084;S
20241028;095922;2659;5;2033124551696583085;S
20241028;095922;2659;1;2033124551696583086;S
20241028;095922;2659;5;2033124551696583087;S
20241028;095922;2659;1;2033124551696583088;S
20241028;095922;2659;50;2033124551696583089;S
20241028;095922;2659;1;2033124551696583090;S
20241028;095922;2659;9;2033124551696583091;S
20241028;095922;2659;20;2033124551696583092;S
20241028;095922;2659;1;2033124551696583093;S
20241028;095922;2659;8;2033124551696583094;S
20241028;095922;2659;5;2033124551696583095;S
20241028;095922;2659;5;2033124551696583096;S
20241028;095922;2659;35;2033124551696583097;S
20241028;095922;2659;1;2033124551696583098;S
20241028;095922;2659;30;2033124551696583099;S
20241028;095922;2659;5;2033124551696583100;S
20241028;095922;2659;5;2033124551696583101;S
20241028;095922;2659;53;2033124551696583102;S
20241028;095922;2659;10;2033124551696583103;S
20241028;095922;2659;19;2033124551696583104;S
20241028;095922;2659;1;2033124551696583105;S
20241028;095922;2659;1;2033124551696583106;S
20241028;095922;2659;10;2033124551696583107;S
20241028;095922;2659;1;2033124551696583108;S
20241028;095922;2659;5;2033124551696583109;S
20241028;095922;2659;10;2033124551696583110;S
20241028;095922;2659;28;2033124551696583111;S
20241028;095922;2659;2;2033124551696583112;S
20241028;095922;2659;10;2033124551696583113;S
20241028;095922;2659;50;2033124551696583114;S
20241028;095922;2659;1;2033124551696583115;S
20241028;095922;2659;32;2033124551696583116;S
20241028;095922;2659;16;2033124551696583117;S
20241028;095922;2659;10;2033124551696583118;S
20241028;095922;2659;10;2033124551696583119;S
20241028;095922;2659;2;2033124551696583120;S
20241028;095922;2659;1;2033124551696583121;S
20241028;095922;2659;1;2033124551696583122;S
20241028;095922;2659;2;2033124551696583123;S
20241028;095922;2659;2;2033124551696583124;S
20241028;095922;2659;10;2033124551696583125;S
20241028;095922;2659;20;2033124551696583126;S
20241028;095922;2659;10;2033124551696583127;S
20241028;095922;2659;1;2033124551696583128;S
20241028;095922;2659;30;2033124551696583129;S
20241028;095922;2659;50;2033124551696583130;S
20241028;095922;2659;20;2033124551696583131;S
20241028;095922;2659;10;2033124551696583132;S
20241028;095922;2659;1;2033124551696583133;S
20241028;095922;2659;1;2033124551696583134;S
20241028;095922;2659;20;2033124551696583135;S
20241028;095922;2659;5;2033124551696583136;S
20241028;095922;2659;10;2033124551696583137;S
20241028;095922;2659;25;2033124551696583138;S
20241028;095922;2659;10;2033124551696583139;S
20241028;095922;2659;5;2033124551696583140;S
20241028;095922;2659;5;2033124551696583141;S
20241028;095922;2659;9;2033124551696583142;S
20241028;095922;2659;10;2033124551696583143;S
20241028;095922;2659;5;2033124551696583144;S
20241028;095922;2659;4;2033124551696583145;S
20241028;095922;2659;1;2033124551696583146;S
20241028;095922;2659;49;2033124551696583147;S
20241028;095922;2659;5;2033124551696583148;S
20241028;095922;2659;1;2033124551696583149;S
20241028;095922;2659;1;2033124551696583150;S
20241028;095922;2659;1;2033124551696583151;S
20241028;095922;2659;2;2033124551696583152;S
20241028;095922;2659;1;2033124551696583153;S
20241028;095922;2659;1;2033124551696583154;S
20241028;095922;2659;1;2033124551696583155;S
20241028;095922;2659;1;2033124551696583156;S
20241028;095922;2659;1;2033124551696583157;S
20241028;095922;2659;2;2033124551696583158;S
20241028;095922;2659;1;2033124551696583159;S
20241028;095922;2659;1;2033124551696583160;S
20241028;095922;2659;1;2033124551696583161;S
20241028;100000;2658.5;1;2033124551696583162;S
20241028;100000;2658.5;1;2033124551696583163;S
20241028;100000;2658;2;2033124551696583164;S
20241028;100000;2657;1;2033124551696583165;S
20241028;100000;2657;2;2033124551696583166;S
20241028;100000;2657;2;2033124551696583167;S
20241028;100000;2657;1;2033124551696583168;S
20241028;100000;2656;2;2033124551696583169;S
20241028;100000;2656;32;2033124551696583170;S
20241028;100000;2656;17;2033124551696583171;S
20241028;100000;2656;1;2033124551696583172;S
20241028;100000;2656;4;2033124551696583173;S
20241028;100000;2656;5;2033124551696583174;S
20241028;100000;2656;5;2033124551696583175;S
20241028;100000;2655.5;2;2033124551696583176;S
20241028;100000;2655.5;1;2033124551696583177;S
20241028;100000;2655.5;2;2033124551696583178;S
20241028;100000;2655.5;1;2033124551696583179;S
20241028;100001;2655;1;2033124551696583180;S
20241028;100001;2655;2;2033124551696583181;S
20241028;100001;2655;7;2033124551696583182;S
20241028;100001;2655;10;2033124551696583183;S
20241028;100001;2658.5;5;2033124551696583184;B
20241028;100001;2655;8;2033124551696583185;S
20241028;100001;2655;5;2033124551696583186;S
20241028;100001;2655;1;2033124551696583187;S
20241028;100001;2655;2;2033124551696583188;S
20241028;100001;2655;4;2033124551696583189;S
20241028;100001;2655;2;2033124551696583190;S
20241028;100001;2655;4;2033124551696583191;S
20241028;100001;2655;15;2033124551696583192;S
20241028;100001;2655;1;2033124551696583193;S
20241028;100001;2655;1;2033124551696583194;S
20241028;100001;2655;1;2033124551696583195;S
20241028;100001;2655;1;2033124551696583196;S
20241028;100001;2655;1;2033124551696583197;S
20241028;100001;2654.5;5;2033124551696583198;S
20241028;100001;2654.5;1;2033124551696583199;S
20241028;100001;2654.5;1;2033124551696583200;S
20241028;100001;2654;1;2033124551696583201;S
20241028;100001;2653.5;7;2033124551696583202;S
20241028;100002;2655.5;5;2033124551696583203;B
20241028;100002;2654;16;2033124551696583204;S
20241028;100002;2654;1;2033124551696583205;S
20241028;100002;2655.5;5;2033124551696583206;B
20241028;100002;2654;1;2033124551696583207;S
