<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241028;095922;20358;43;2024680302395265904;B
20241028;095922;20358;32;2024680302395265905;B
20241028;095922;20358;61;2024680302395265906;B
20241028;095922;20358;139;2024680302395265907;B
20241028;095922;20358;288;2024680302395265908;B
20241028;095922;20358;53;2024680302395265909;B
20241028;095922;20358;1;2024680302395265910;B
20241028;095922;20358;46;2024680302395265911;B
20241028;095922;20358;100;2024680302395265912;B
20241028;095922;20358;27;2024680302395265913;B
20241028;095922;20358;1;2024680302395265914;B
20241028;095922;20358;6;2024680302395265915;B
20241028;095922;20358;2;2024680302395265916;B
20241028;095922;20358;1;2024680302395265917;B
20241028;095922;20358;1;2024680302395265918;B
20241028;095922;20358;1;2024680302395265919;B
20241028;095922;20358;1;2024680302395265920;B
20241028;095922;20358;1;2024680302395265921;B
20241028;095922;20358;1;2024680302395265922;B
20241028;095922;20358;10;2024680302395265923;B
20241028;095922;20331;3;2024680302395265924;B
20241028;095922;20332;4;2024680302395265929;B
20241028;095922;20338;6;2024680302395265934;B
20241028;095922;20338;1;2024680302395265939;B
20241028;095922;20338;2;2024680302395265944;B
20241028;095922;20343;4;2024680302395265949;B
20241028;095922;20331;1;2024680302395265954;B
20241028;095922;20343;3;2024680302395265959;B
20241028;095922;20343;2;2024680302395265964;B
20241028;095922;20357;1;2024680302395265969;B
20241028;100000;20361;1;2024680302395265974;B
20241028;100000;20365;2;2024680302395265975;B
20241028;100000;20365;1;2024680302395265976;B
20241028;100000;20358;12;2024680302395265977;S
20241028;100000;20358;50;2024680302395265978;S
20241028;100000;20358;60;2024680302395265979;S
20241028;100000;20358;35;2024680302395265980;S
20241028;100000;20358;12;2024680302395265981;S
20241028;100000;20358;50;2024680302395265982;S
20241028;100000;20357;53;2024680302395265983;S
20241028;100000;20357;50;2024680302395265984;S
20241028;100000;20357;12;2024680302395265985;S
20241028;100000;20356;50;2024680302395265986;S
20241028;100000;20356;12;2024680302395265987;S
20241028;100000;20355;50;2024680302395265988;S
20241028;100000;20355;12;2024680302395265989;S
