<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241102;095947;2.669;1;2012576899871583834;B
20241102;095947;2.669;4;2012576899871583835;B
20241102;095947;2.669;5;2012576899871583836;B
20241102;095947;2.669;5;2012576899871583837;B
20241102;095947;2.669;5;2012576899871583838;B
20241102;095947;2.669;1;2012576899871583839;B
20241102;095947;2.669;8;2012576899871583840;B
20241102;095947;2.669;11;2012576899871583841;S
20241102;095947;2.669;14;2012576899871583842;S
20241102;095947;2.669;2;2012576899871583843;S
20241102;095947;2.669;15;2012576899871583844;S
20241102;095947;2.669;4;2012576899871583845;S
20241102;095947;2.669;5;2012576899871583846;S
20241102;095947;2.669;5;2012576899871583847;S
20241102;095947;2.669;5;2012576899871583848;S
20241102;095947;2.669;1;2012576899871583849;S
20241102;095947;2.669;20;2012576899871583850;S
20241102;095947;2.669;20;2012576899871583851;S
20241102;100002;2.67;1;2012576899871583854;B
20241102;100002;2.67;1;2012576899871583859;B
20241102;100002;2.67;3;2012576899871583864;B
20241102;100002;2.67;1;2012576899871583869;B
20241102;100003;2.669;2;2012576899871583873;S
20241102;100003;2.669;2;2012576899871583874;S
20241102;100003;2.67;2;2012576899871583875;B
20241102;100003;2.669;2;2012576899871583876;S
20241102;100003;2.67;2;2012576899871583877;B
20241102;100003;2.669;2;2012576899871583878;S
20241102;100004;2.67;10;2012576899871583879;B
20241102;100004;2.67;1;2012576899871583880;B
20241102;100004;2.67;20;2012576899871583881;B
20241102;100004;2.67;5;2012576899871583882;B
20241102;100004;2.671;20;2012576899871583883;B
20241102;100004;2.671;5;2012576899871583884;B
20241102;100004;2.672;2;2012576899871583885;B
20241102;100004;2.672;2;2012576899871583886;B
20241102;100004;2.672;1;2012576899871583887;B
20241102;100004;2.672;2;2012576899871583888;B
20241102;100004;2.672;30;2012576899871583889;B
20241102;100004;2.672;5;2012576899871583890;B
20241102;100004;2.673;10;2012576899871583891;B
20241102;100004;2.673;30;2012576899871583892;B
20241102;100004;2.673;1;2012576899871583893;B
20241102;100004;2.673;1;2012576899871583894;B
20241102;100004;2.673;5;2012576899871583895;B
20241102;100004;2.674;10;2012576899871583896;B
20241102;100004;2.674;20;2012576899871583897;B
20241102;100004;2.674;20;2012576899871583898;B
20241102;100005;2.674;1;2012576899871583899;B
20241102;100005;2.674;8;2012576899871583904;B
20241102;100006;2.674;1;2012576899871583905;B
20241102;100006;2.672;1;2012576899871583906;S
20241102;100006;2.672;2;2012576899871583907;S
20241102;100007;2.674;11;2012576899871583908;B
20241102;100008;2.674;5;2012576899871583909;B
20241102;100009;2.672;3;2012576899871583910;S
20241102;100009;2.672;1;2012576899871583911;S
20241102;100009;2.672;16;2012576899871583912;S
20241102;100012;2.673;1;2012576899871583913;S
20241102;100012;2.673;1;2012576899871583914;S
20241102;100012;2.673;4;2012576899871583915;S
20241102;100012;2.673;19;2012576899871583916;S
20241102;100012;2.672;1;2012576899871583917;S
20241102;100012;2.672;1;2012576899871583918;S
20241102;100012;2.672;5;2012576899871583919;S
20241102;100012;2.672;4;2012576899871583920;S
20241102;100012;2.671;5;2012576899871583921;S
20241102;100012;2.671;4;2012576899871583922;S
20241102;100012;2.67;5;2012576899871583923;S
20241102;100012;2.67;4;2012576899871583924;S
20241102;100012;2.669;6;2012576899871583929;S
20241102;100012;2.669;1;2012576899871583930;S
20241102;100012;2.669;5;2012576899871583931;S
20241102;100012;2.669;31;2012576899871583932;S
20241102;100014;2.669;5;2012576899871583933;S
20241102;100014;2.668;2;2012576899871583934;S
20241102;100014;2.668;1;2012576899871583935;S
20241102;100014;2.668;5;2012576899871583936;S
20241102;100014;2.668;1;2012576899871583937;S
20241102;100014;2.668;5;2012576899871583942;S
20241102;100014;2.668;1;2012576899871583943;S
20241102;100020;2.669;5;2012576899871583944;S
20241102;100020;2.669;6;2012576899871583945;S
20241102;100020;2.668;4;2012576899871583946;S
20241102;100020;2.668;5;2012576899871583947;S
20241102;100023;2.668;1;2012576899871583948;S
20241102;100025;2.669;1;2012576899871583949;B
20241102;100025;2.669;1;2012576899871583950;B
20241102;100027;2.669;6;2012576899871583951;B
20241102;100027;2.669;5;2012576899871583952;B
20241102;100027;2.669;4;2012576899871583953;B
20241102;100030;2.668;4;2012576899871583954;S
20241102;100030;2.668;5;2012576899871583955;S
20241102;100030;2.668;5;2012576899871583956;S
20241102;100030;2.668;3;2012576899871583957;S
20241102;100031;2.668;2;2012576899871583958;S
20241102;100031;2.668;4;2012576899871583959;S
20241102;100031;2.668;1;2012576899871583960;S
20241102;100031;2.668;4;2012576899871583961;S
20241102;100031;2.667;1;2012576899871583962;S
20241102;100031;2.667;1;2012576899871583963;S
20241102;100031;2.667;1;2012576899871583964;S
20241102;100031;2.667;5;2012576899871583965;S
20241102;100031;2.667;1;2012576899871583966;S
20241102;100031;2.667;1;2012576899871583967;S
20241102;100032;2.669;2;2012576899871583968;B
20241102;100033;2.667;2;2012576899871583969;S
20241102;100033;2.667;3;2012576899871583970;S
20241102;100036;2.668;1;2012576899871583971;B
20241102;100038;2.667;2;2012576899871583972;B
20241102;100038;2.667;5;2012576899871583973;B
20241102;100038;2.668;1;2012576899871583974;B
20241102;100039;2.667;1;2012576899871583975;B
20241102;100039;2.667;4;2012576899871583976;B
20241102;100039;2.666;3;2012576899871583977;S
20241102;100039;2.667;1;2012576899871583978;B
20241102;100039;2.668;1;2012576899871583979;B
20241102;100040;2.668;2;2012576899871583980;B
20241102;100040;2.668;2;2012576899871583981;B
20241102;100040;2.666;2;2012576899871583982;S
20241102;100041;2.668;2;2012576899871583983;B
20241102;100042;2.668;1;2012576899871583984;B
20241102;100042;2.668;1;2012576899871583985;B
20241102;100044;2.667;2;2012576899871583986;S
20241102;100047;2.667;5;2012576899871583987;S
20241102;100047;2.667;2;2012576899871583988;S
20241102;100050;2.667;1;2012576899871583989;S
20241102;100055;2.668;3;2012576899871583990;B
20241102;100056;2.667;1;2012576899871583991;S
20241102;100100;2.667;9;2012576899871583992;S
20241102;100100;2.667;4;2012576899871583993;S
20241102;100100;2.667;45;2012576899871583994;S
20241102;100100;2.667;2;2012576899871583995;S
20241102;100100;2.667;3;2012576899871583996;S
20241102;100100;2.667;1;2012576899871583997;S
20241102;100100;2.667;10;2012576899871583998;S
20241102;100100;2.667;1;2012576899871583999;S
20241102;100100;2.666;1;2012576899871584000;S
20241102;100100;2.666;10;2012576899871584001;S
20241102;100100;2.666;5;2012576899871584002;S
20241102;100100;2.666;9;2012576899871584003;S
20241102;100100;2.666;1;2012576899871584004;S
20241102;100101;2.668;1;2012576899871584005;B
20241102;100101;2.668;1;2012576899871584006;B
20241102;100102;2.666;10;2012576899871584007;S
20241102;100104;2.666;4;2012576899871584008;S
20241102;100105;2.666;4;2012576899871584009;S
20241102;100111;2.666;4;2012576899871584010;S
20241102;100115;2.666;5;2012576899871584011;S
20241102;100116;2.666;1;2012576899871584012;S
20241102;100116;2.666;4;2012576899871584013;S
20241102;100118;2.666;15;2012576899871584014;S
20241102;100119;2.667;4;2012576899871584016;B
20241102;100122;2.666;2;2012576899871584017;S
20241102;100122;2.666;6;2012576899871584018;S
20241102;100122;2.666;3;2012576899871584019;S
20241102;100122;2.666;5;2012576899871584020;S
20241102;100123;2.667;5;2012576899871584021;B
20241102;100126;2.667;1;2012576899871584022;B
20241102;100127;2.666;5;2012576899871584023;S
20241102;100131;2.666;1;2012576899871584024;S
20241102;100132;2.667;1;2012576899871584025;B
20241102;100133;2.667;1;2012576899871584026;B
20241102;100133;2.667;2;2012576899871584027;B
20241102;100134;2.666;41;2012576899871584028;S
20241102;100134;2.667;1;2012576899871584029;B
20241102;100134;2.667;2;2012576899871584030;B
20241102;100134;2.667;2;2012576899871584031;B
20241102;100134;2.667;2;2012576899871584032;B
20241102;100134;2.667;2;2012576899871584033;B
20241102;100134;2.667;27;2012576899871584034;B
20241102;100134;2.667;4;2012576899871584035;B
20241102;100134;2.667;1;2012576899871584036;B
20241102;100134;2.667;9;2012576899871584037;B
20241102;100134;2.667;1;2012576899871584038;B
20241102;100135;2.666;1;2012576899871584039;S
20241102;100136;2.666;47;2012576899871584040;S
20241102;100136;2.666;10;2012576899871584041;S
20241102;100136;2.666;31;2012576899871584042;S
20241102;100136;2.666;30;2012576899871584043;S
20241102;100136;2.666;20;2012576899871584044;S
20241102;100136;2.666;4;2012576899871584045;S
20241102;100136;2.666;1;2012576899871584046;S
20241102;100136;2.666;2;2012576899871584047;S
20241102;100136;2.666;20;2012576899871584048;S
20241102;100136;2.666;1;2012576899871584049;S
20241102;100136;2.666;2;2012576899871584050;S
20241102;100136;2.666;4;2012576899871584051;S
20241102;100136;2.666;10;2012576899871584052;S
20241102;100136;2.666;10;2012576899871584053;S
20241102;100136;2.665;1;2012576899871584054;S
20241102;100136;2.665;8;2012576899871584055;S
20241102;100136;2.665;15;2012576899871584056;S
20241102;100136;2.665;1;2012576899871584057;S
20241102;100136;2.665;1;2012576899871584058;S
