<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241029;100002;848.5;7;2016799007342330723;B
20241029;100002;848.5;7;2016799007342330724;B
20241029;100006;849;1;2016799007342330725;B
20241029;100006;849;10;2016799007342330726;B
20241029;100006;849;1;2016799007342330727;B
20241029;100006;849;10;2016799007342330728;B
20241029;100006;849;1;2016799007342330729;B
20241029;100006;849;1;2016799007342330730;B
20241029;100006;849;1;2016799007342330731;B
20241029;100006;849;1;2016799007342330732;B
20241029;100010;849.5;9;2016799007342330733;B
20241029;100010;849.5;1;2016799007342330734;B
20241029;100010;849.5;1;2016799007342330735;B
20241029;100010;849.5;1;2016799007342330736;B
20241029;100010;849.5;1;2016799007342330737;B
20241029;100010;849.5;2;2016799007342330738;B
20241029;100010;849.5;2;2016799007342330739;B
20241029;100010;849.5;1;2016799007342330740;B
20241029;100010;849.5;1;2016799007342330741;B
20241029;100010;849.5;2;2016799007342330742;B
20241029;100010;849.5;2;2016799007342330743;B
20241029;100010;849.5;2;2016799007342330744;B
20241029;100010;849.5;5;2016799007342330745;B
20241029;100014;850;10;2016799007342330746;B
20241029;100014;850;1;2016799007342330747;B
20241029;100014;850;1;2016799007342330748;B
20241029;100014;850;7;2016799007342330749;B
20241029;100014;850;1;2016799007342330750;B
20241029;100014;850;1;2016799007342330751;B
20241029;100014;850;1;2016799007342330752;B
20241029;100014;850;10;2016799007342330753;B
20241029;100014;850;1;2016799007342330754;B
20241029;100014;850;1;2016799007342330755;B
20241029;100014;850;1;2016799007342330756;B
20241029;100015;850;1;2016799007342330757;B
20241029;100023;849.5;1;2016799007342330758;S
20241029;100023;849.5;2;2016799007342330759;S
20241029;100026;849.5;1;2016799007342330760;S
20241029;100027;850.5;1;2016799007342330761;B
20241029;100027;850.5;1;2016799007342330762;B
20241029;100027;850.5;1;2016799007342330763;B
20241029;100027;850.5;1;2016799007342330764;B
20241029;100027;850.5;3;2016799007342330765;B
20241029;100027;850.5;5;2016799007342330766;B
20241029;100027;850.5;2;2016799007342330767;B
20241029;100028;850;3;2016799007342330768;B
20241029;100029;851;1;2016799007342330769;B
20241029;100029;851;1;2016799007342330770;B
20241029;100029;851;2;2016799007342330771;B
20241029;100029;851;2;2016799007342330772;B
20241029;100030;851;1;2016799007342330773;B
20241029;100031;851;1;2016799007342330774;B
20241029;100035;851;17;2016799007342330775;B
20241029;100035;851;2;2016799007342330776;B
20241029;100038;851;12;2016799007342330777;B
20241029;100041;850;1;2016799007342330778;S
20241029;100041;850;4;2016799007342330779;S
20241029;100041;849.5;1;2016799007342330780;S
20241029;100045;849.5;21;2016799007342330781;B
20241029;100046;850;2;2016799007342330782;B
20241029;100050;849;1;2016799007342330783;S
20241029;100050;849;1;2016799007342330784;S
20241029;100050;849;9;2016799007342330785;S
20241029;100050;849;5;2016799007342330786;S
20241029;100050;849;4;2016799007342330787;S
20241029;100050;849;2;2016799007342330788;S
20241029;100053;849.5;4;2016799007342330789;B
20241029;100056;848.5;1;2016799007342330790;S
20241029;100101;849;12;2016799007342330791;B
20241029;100102;848.5;1;2016799007342330792;S
20241029;100103;850;8;2016799007342330793;B
20241029;100103;850;6;2016799007342330794;B
20241029;100105;850;1;2016799007342330795;B
20241029;100109;849;5;2016799007342330796;S
20241029;100113;850;1;2016799007342330797;B
20241029;100114;849.5;5;2016799007342330798;B
20241029;100114;849.5;1;2016799007342330799;B
20241029;100114;849.5;3;2016799007342330800;B
20241029;100117;850;123;2016799007342330801;B
20241029;100117;850.5;43;2016799007342330802;B
20241029;100117;849.5;6;2016799007342330803;B
20241029;100121;849.5;1;2016799007342330804;B
20241029;100139;850.5;21;2016799007342330805;B
20241029;100140;849;1;2016799007342330806;S
20241029;100141;850.5;1;2016799007342330807;B
20241029;100146;850.5;30;2016799007342330808;B
20241029;100153;850.5;10;2016799007342330809;B
20241029;100210;851;5;2016799007342330810;B
20241029;100211;851;1;2016799007342330811;B
20241029;100214;851;10;2016799007342330812;B
20241029;100214;851;1;2016799007342330813;B
20241029;100214;851;1;2016799007342330814;B
20241029;100214;851;1;2016799007342330815;B
20241029;100214;851;5;2016799007342330816;B
20241029;100214;851;5;2016799007342330817;B
20241029;100214;851;1;2016799007342330818;B
20241029;100214;851;1;2016799007342330819;B
20241029;100214;851;1;2016799007342330820;B
20241029;100214;851;2;2016799007342330821;B
20241029;100214;851;10;2016799007342330822;B
20241029;100214;851;5;2016799007342330823;B
20241029;100214;851;7;2016799007342330824;B
20241029;100214;851;3;2016799007342330825;B
20241029;100214;851;1;2016799007342330826;B
20241029;100220;851.5;1;2016799007342330827;B
20241029;100220;851.5;1;2016799007342330828;B
20241029;100220;851.5;4;2016799007342330829;B
20241029;100220;851.5;1;2016799007342330830;B
20241029;100220;851.5;1;2016799007342330831;B
20241029;100220;851;1;2016799007342330832;B
20241029;100220;851.5;3;2016799007342330833;B
20241029;100233;851.5;2;2016799007342330834;B
20241029;100236;851.5;3;2016799007342330835;B
