<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241031;095938;34.54;2;1951778296312110155;S
20241031;095938;34.54;2;1951778296312110156;S
20241031;095938;34.54;7;1951778296312110157;S
20241031;095938;34.54;11;1951778296312110158;S
20241031;095938;34.54;18;1951778296312110159;S
20241031;095938;34.54;1;1951778296312110160;S
20241031;095938;34.54;10;1951778296312110161;B
20241031;095938;34.54;1;1951778296312110162;S
20241031;095938;34.54;20;1951778296312110163;S
20241031;095938;34.54;1;1951778296312110164;B
20241031;095938;34.54;1;1951778296312110165;S
20241031;095938;34.54;3;1951778296312110166;S
20241031;095938;34.54;22;1951778296312110167;S
20241031;095938;34.54;3;1951778296312110168;S
20241031;100000;34.53;1;1951778296312110172;S
20241031;100000;34.53;29;1951778296312110173;B
20241031;100001;34.52;1;1951778296312110174;S
20241031;100001;34.52;2;1951778296312110179;S
20241031;100001;34.52;1;1951778296312110184;S
20241031;100001;34.52;1;1951778296312110189;S
20241031;100001;34.52;6;1951778296312110194;S
20241031;100001;34.52;10;1951778296312110199;S
20241031;100001;34.51;1;1951778296312110200;S
20241031;100001;34.51;1;1951778296312110201;S
20241031;100001;34.51;1;1951778296312110202;S
20241031;100001;34.51;10;1951778296312110203;S
20241031;100001;34.51;1;1951778296312110204;S
20241031;100001;34.51;2;1951778296312110205;S
20241031;100001;34.51;10;1951778296312110206;S
20241031;100001;34.51;1;1951778296312110207;S
20241031;100001;34.51;1;1951778296312110208;S
20241031;100001;34.51;10;1951778296312110209;S
20241031;100001;34.51;1;1951778296312110210;S
20241031;100001;34.51;10;1951778296312110211;S
20241031;100001;34.51;1;1951778296312110212;S
20241031;100001;34.51;2;1951778296312110213;S
20241031;100001;34.51;2;1951778296312110214;S
20241031;100001;34.51;5;1951778296312110215;S
20241031;100002;34.51;1;1951778296312110220;S
20241031;100002;34.54;1;1951778296312110226;B
20241031;100003;34.54;2;1951778296312110230;B
20241031;100003;34.51;1;1951778296312110231;S
20241031;100003;34.51;1;1951778296312110236;S
20241031;100005;34.51;1;1951778296312110241;S
20241031;100005;34.51;1;1951778296312110246;S
20241031;100005;34.51;3;1951778296312110251;S
20241031;100005;34.51;7;1951778296312110253;S
20241031;100005;34.51;1;1951778296312110258;S
20241031;100005;34.5;1;1951778296312110263;S
20241031;100005;34.5;1;1951778296312110268;S
20241031;100006;34.5;1;1951778296312110272;S
20241031;100006;34.5;1;1951778296312110273;S
20241031;100006;34.5;1;1951778296312110274;S
20241031;100006;34.5;2;1951778296312110275;S
20241031;100006;34.5;1;1951778296312110276;S
20241031;100006;34.5;1;1951778296312110277;S
20241031;100006;34.5;50;1951778296312110278;S
20241031;100008;34.5;4;1951778296312110279;S
20241031;100009;34.5;20;1951778296312110280;S
20241031;100009;34.5;87;1951778296312110281;S
20241031;100009;34.5;32;1951778296312110282;S
20241031;100009;34.5;5;1951778296312110283;S
20241031;100009;34.5;1;1951778296312110284;S
20241031;100009;34.5;1;1951778296312110285;S
20241031;100009;34.5;1;1951778296312110286;S
20241031;100009;34.5;1;1951778296312110287;S
20241031;100009;34.5;1;1951778296312110288;S
20241031;100009;34.5;3;1951778296312110289;S
20241031;100009;34.5;1;1951778296312110290;S
20241031;100009;34.5;5;1951778296312110291;S
20241031;100009;34.5;1;1951778296312110292;S
20241031;100009;34.5;28;1951778296312110293;S
20241031;100009;34.5;22;1951778296312110294;S
20241031;100009;34.49;1;1951778296312110295;S
20241031;100010;34.49;2;1951778296312110296;S
20241031;100010;34.49;1;1951778296312110297;S
20241031;100010;34.49;3;1951778296312110298;S
20241031;100010;34.49;1;1951778296312110299;S
20241031;100010;34.48;3;1951778296312110300;S
20241031;100010;34.48;1;1951778296312110301;S
20241031;100010;34.48;1;1951778296312110302;S
20241031;100010;34.48;1;1951778296312110303;S
20241031;100010;34.48;2;1951778296312110304;S
20241031;100011;34.48;3;1951778296312110306;S
20241031;100011;34.47;1;1951778296312110307;S
20241031;100011;34.47;1;1951778296312110308;S
20241031;100011;34.47;1;1951778296312110309;S
20241031;100012;34.47;1;1951778296312110310;S
20241031;100012;34.47;3;1951778296312110311;S
20241031;100012;34.47;2;1951778296312110312;S
20241031;100012;34.47;2;1951778296312110313;S
20241031;100012;34.48;1;1951778296312110314;B
20241031;100012;34.47;3;1951778296312110315;S
20241031;100012;34.47;1;1951778296312110316;S
20241031;100012;34.46;1;1951778296312110317;S
20241031;100012;34.46;1;1951778296312110318;S
20241031;100013;34.46;1;1951778296312110319;S
20241031;100013;34.46;3;1951778296312110320;S
20241031;100013;34.46;1;1951778296312110321;S
20241031;100013;34.46;1;1951778296312110322;S
20241031;100013;34.48;1;1951778296312110327;B
20241031;100014;34.48;1;1951778296312110329;B
20241031;100014;34.48;1;1951778296312110337;B
20241031;100014;34.48;2;1951778296312110342;B
20241031;100014;34.48;1;1951778296312110345;B
20241031;100015;34.46;2;1951778296312110346;S
20241031;100015;34.46;1;1951778296312110351;S
20241031;100015;34.48;8;1951778296312110356;B
20241031;100015;34.46;1;1951778296312110357;S
20241031;100015;34.48;1;1951778296312110362;B
20241031;100015;34.48;3;1951778296312110363;B
20241031;100015;34.46;1;1951778296312110364;S
20241031;100016;34.46;2;1951778296312110369;S
20241031;100016;34.46;1;1951778296312110374;S
20241031;100016;34.46;9;1951778296312110379;S
20241031;100016;34.48;2;1951778296312110380;B
20241031;100016;34.46;5;1951778296312110381;S
20241031;100016;34.46;1;1951778296312110382;S
20241031;100016;34.46;7;1951778296312110383;S
20241031;100016;34.48;1;1951778296312110384;B
20241031;100017;34.46;1;1951778296312110385;S
20241031;100021;34.46;3;1951778296312110394;S
20241031;100021;34.46;1;1951778296312110395;S
20241031;100021;34.48;11;1951778296312110396;B
20241031;100021;34.46;4;1951778296312110397;S
20241031;100027;34.46;1;1951778296312110398;S
20241031;100027;34.46;1;1951778296312110399;S
20241031;100027;34.46;1;1951778296312110400;S
20241031;100027;34.46;1;1951778296312110401;S
20241031;100027;34.46;1;1951778296312110402;S
20241031;100027;34.46;1;1951778296312110403;S
20241031;100027;34.46;1;1951778296312110404;S
20241031;100027;34.45;1;1951778296312110405;S
20241031;100027;34.45;1;1951778296312110406;S
20241031;100027;34.45;1;1951778296312110407;S
20241031;100027;34.45;5;1951778296312110408;S
20241031;100027;34.45;2;1951778296312110409;S
20241031;100027;34.45;2;1951778296312110410;S
20241031;100027;34.45;2;1951778296312110411;S
20241031;100027;34.45;1;1951778296312110412;S
20241031;100027;34.45;1;1951778296312110417;S
20241031;100027;34.45;1;1951778296312110422;S
20241031;100027;34.45;1;1951778296312110427;S
20241031;100027;34.45;1;1951778296312110428;S
20241031;100027;34.45;10;1951778296312110429;S
20241031;100027;34.44;1;1951778296312110430;S
20241031;100027;34.44;2;1951778296312110431;S
20241031;100027;34.44;7;1951778296312110432;S
20241031;100027;34.44;1;1951778296312110437;S
20241031;100027;34.44;5;1951778296312110438;S
20241031;100027;34.44;8;1951778296312110439;S
20241031;100027;34.44;2;1951778296312110440;S
20241031;100028;34.44;19;1951778296312110441;S
20241031;100028;34.44;18;1951778296312110442;S
20241031;100028;34.45;2;1951778296312110443;B
20241031;100029;34.45;1;1951778296312110444;B
20241031;100029;34.45;1;1951778296312110445;B
20241031;100032;34.44;30;1951778296312110446;S
20241031;100033;34.44;3;1951778296312110447;S
20241031;100034;34.45;4;1951778296312110448;B
20241031;100034;34.45;6;1951778296312110449;B
20241031;100034;34.45;1;1951778296312110450;B
20241031;100037;34.45;5;1951778296312110452;B
20241031;100037;34.45;1;1951778296312110453;B
20241031;100038;34.44;1;1951778296312110454;S
20241031;100038;34.44;1;1951778296312110455;S
20241031;100038;34.44;1;1951778296312110456;S
20241031;100038;34.44;1;1951778296312110457;S
20241031;100038;34.44;1;1951778296312110458;S
20241031;100038;34.44;1;1951778296312110459;S
20241031;100038;34.44;13;1951778296312110460;S
20241031;100038;34.44;2;1951778296312110461;S
20241031;100038;34.43;2;1951778296312110462;S
20241031;100038;34.43;7;1951778296312110463;S
20241031;100038;34.43;5;1951778296312110464;S
20241031;100039;34.43;2;1951778296312110465;S
20241031;100039;34.45;37;1951778296312110466;B
20241031;100040;34.44;1;1951778296312110467;S
20241031;100043;34.44;10;1951778296312110468;S
20241031;100043;34.45;1;1951778296312110469;B
20241031;100044;34.45;1;1951778296312110470;B
20241031;100045;34.44;10;1951778296312110471;S
20241031;100046;34.45;10;1951778296312110472;B
20241031;100047;34.44;1;1951778296312110473;S
20241031;100047;34.44;1;1951778296312110474;S
20241031;100048;34.44;1;1951778296312110475;S
20241031;100048;34.44;100;1951778296312110476;S
20241031;100048;34.44;1;1951778296312110477;S
20241031;100048;34.44;2;1951778296312110478;S
20241031;100048;34.44;1;1951778296312110479;S
20241031;100048;34.44;10;1951778296312110480;S
20241031;100048;34.44;1;1951778296312110481;B
20241031;100049;34.43;2;1951778296312110482;S
20241031;100049;34.43;2;1951778296312110483;S
20241031;100049;34.43;12;1951778296312110484;S
20241031;100049;34.43;2;1951778296312110485;S
20241031;100049;34.43;5;1951778296312110486;S
20241031;100049;34.43;1;1951778296312110491;S
20241031;100050;34.43;1;1951778296312110492;S
20241031;100053;34.44;1;1951778296312110493;B
20241031;100054;34.43;1;1951778296312110494;S
20241031;100055;34.43;1;1951778296312110495;S
20241031;100055;34.44;7;1951778296312110496;B
20241031;100056;34.44;3;1951778296312110497;B
20241031;100056;34.44;7;1951778296312110498;B
20241031;100056;34.44;1;1951778296312110499;B
20241031;100056;34.43;2;1951778296312110500;S
20241031;100056;34.43;1;1951778296312110501;S
20241031;100056;34.43;1;1951778296312110502;S
20241031;100056;34.43;1;1951778296312110503;S
20241031;100056;34.43;2;1951778296312110504;S
20241031;100056;34.43;1;1951778296312110505;S
20241031;100056;34.43;1;1951778296312110506;S
20241031;100057;34.42;1;1951778296312110507;S
20241031;100057;34.42;1;1951778296312110508;S
20241031;100057;34.42;1;1951778296312110509;S
20241031;100057;34.42;1;1951778296312110514;S
20241031;100057;34.42;3;1951778296312110519;S
20241031;100058;34.42;1;1951778296312110524;S
20241031;100058;34.42;1;1951778296312110529;S
20241031;100059;34.44;30;1951778296312110530;B
20241031;100059;34.44;19;1951778296312110531;B
20241031;100100;34.42;5;1951778296312110532;S
20241031;100102;34.42;2;1951778296312110533;S
20241031;100102;34.44;1;1951778296312110534;B
20241031;100103;34.44;4;1951778296312110535;B
20241031;100104;34.42;12;1951778296312110536;S
20241031;100104;34.42;3;1951778296312110537;S
20241031;100104;34.43;2;1951778296312110538;B
20241031;100104;34.43;8;1951778296312110539;B
20241031;100104;34.42;1;1951778296312110540;S
20241031;100104;34.43;2;1951778296312110542;B
20241031;100106;34.43;2;1951778296312110543;B
20241031;100106;34.42;2;1951778296312110544;S
20241031;100106;34.42;1;1951778296312110545;S
20241031;100106;34.42;2;1951778296312110550;S
20241031;100107;34.43;1;1951778296312110551;B
20241031;100107;34.42;1;1951778296312110552;S
20241031;100107;34.42;17;1951778296312110553;S
20241031;100108;34.43;10;1951778296312110554;B
20241031;100108;34.42;2;1951778296312110555;S
20241031;100109;34.43;1;1951778296312110556;B
20241031;100109;34.42;98;1951778296312110557;S
20241031;100109;34.42;6;1951778296312110558;S
20241031;100109;34.42;10;1951778296312110559;S
20241031;100109;34.42;1;1951778296312110560;S
20241031;100109;34.42;2;1951778296312110561;S
20241031;100109;34.42;1;1951778296312110562;S
20241031;100112;34.42;3;1951778296312110563;B
20241031;100114;34.42;5;1951778296312110564;B
20241031;100115;34.41;5;1951778296312110565;S
20241031;100115;34.41;1;1951778296312110566;S
20241031;100115;34.41;4;1951778296312110567;S
20241031;100115;34.41;2;1951778296312110568;S
20241031;100116;34.42;12;1951778296312110569;B
20241031;100117;34.41;5;1951778296312110570;S
20241031;100117;34.41;8;1951778296312110571;S
20241031;100117;34.42;1;1951778296312110572;B
20241031;100117;34.42;3;1951778296312110573;B
20241031;100117;34.42;3;1951778296312110574;B
20241031;100118;34.42;1;1951778296312110575;B
20241031;100120;34.41;2;1951778296312110576;S
20241031;100120;34.41;1;1951778296312110577;S
20241031;100120;34.41;1;1951778296312110578;S
20241031;100121;34.41;2;1951778296312110579;S
20241031;100121;34.41;1;1951778296312110580;S
20241031;100121;34.41;1;1951778296312110581;S
20241031;100124;34.41;1;1951778296312110586;S
20241031;100124;34.42;4;1951778296312110591;B
20241031;100126;34.42;10;1951778296312110592;B
20241031;100128;34.42;1;1951778296312110593;B
20241031;100128;34.42;1;1951778296312110594;B
20241031;100128;34.41;1;1951778296312110595;S
20241031;100128;34.41;1;1951778296312110600;S
20241031;100128;34.41;1;1951778296312110605;S
20241031;100128;34.41;8;1951778296312110610;S
20241031;100128;34.41;1;1951778296312110611;S
20241031;100129;34.41;2;1951778296312110612;S
20241031;100129;34.41;2;1951778296312110613;S
20241031;100131;34.41;30;1951778296312110614;S
20241031;100133;34.42;2;1951778296312110615;B
20241031;100133;34.41;1;1951778296312110616;S
20241031;100134;34.42;1;1951778296312110617;B
20241031;100134;34.42;4;1951778296312110618;B
20241031;100134;34.42;1;1951778296312110619;B
20241031;100134;34.42;1;1951778296312110620;B
20241031;100134;34.42;1;1951778296312110621;B
