<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241028;095922;583.31;3;2016517528070656113;B
20241028;095922;583.31;15;2016517528070656114;B
20241028;095922;583.31;16;2016517528070656115;B
20241028;095922;583.31;1;2016517528070656116;B
20241028;095922;583.31;15;2016517528070656117;B
20241028;095922;583.31;1;2016517528070656118;B
20241028;095922;583.31;1;2016517528070656119;B
20241028;095922;583.31;1;2016517528070656120;B
20241028;095922;583.31;2;2016517528070656121;B
20241028;095922;583.31;1;2016517528070656122;B
20241028;095922;583.31;1;2016517528070656123;B
20241028;095922;583.31;2;2016517528070656124;B
20241028;095922;583.31;1;2016517528070656125;B
20241028;095922;583.31;1;2016517528070656126;B
20241028;095922;583.31;10;2016517528070656127;B
20241028;095922;583.31;1;2016517528070656128;B
20241028;095922;583.31;1;2016517528070656129;B
20241028;095922;583.31;1;2016517528070656130;B
20241028;095922;583.31;1;2016517528070656131;B
20241028;095922;583.31;6;2016517528070656132;B
20241028;095922;583.31;1;2016517528070656133;B
20241028;100001;583.32;1;2016517528070656135;S
20241028;100004;583.31;2;2016517528070656136;S
20241028;100008;583.33;6;2016517528070656137;B
20241028;100008;583.33;9;2016517528070656138;B
20241028;100008;583.4;1;2016517528070656139;B
20241028;100008;583.42;1;2016517528070656140;B
20241028;100008;583.47;2;2016517528070656141;B
20241028;100008;583.48;1;2016517528070656142;B
20241028;100008;583.5;1;2016517528070656147;B
20241028;100008;583.5;1;2016517528070656148;B
20241028;100008;583.56;4;2016517528070656149;B
20241028;100010;583.56;1;2016517528070656150;B
20241028;100010;583.56;2;2016517528070656152;B
20241028;100010;583.31;2;2016517528070656153;S
20241028;100011;583.32;2;2016517528070656154;S
20241028;100012;583.31;5;2016517528070656155;S
20241028;100015;583.5;1;2016517528070656156;B
20241028;100015;583.31;27;2016517528070656157;S
20241028;100015;583.31;4;2016517528070656158;S
20241028;100015;583.31;3;2016517528070656159;B
20241028;100015;583.5;49;2016517528070656160;B
20241028;100015;583.56;2;2016517528070656161;B
20241028;100015;583.6;1;2016517528070656162;B
20241028;100020;583.6;44;2016517528070656163;S
20241028;100020;583.62;1;2016517528070656164;S
20241028;100020;583.62;1;2016517528070656165;S
20241028;100021;583.62;1;2016517528070656170;S
20241028;100024;583.6;1;2016517528070656175;S
20241028;100024;583.6;44;2016517528070656176;S
20241028;100025;583.6;1;2016517528070656177;S
20241028;100029;583.6;1;2016517528070656178;S
20241028;100036;583.6;1;2016517528070656179;S
20241028;100036;583.58;3;2016517528070656180;S
20241028;100037;583.58;1;2016517528070656181;S
20241028;100038;583.64;1;2016517528070656182;B
20241028;100038;583.64;1;2016517528070656183;B
20241028;100038;583.64;1;2016517528070656184;B
20241028;100038;583.64;2;2016517528070656185;B
20241028;100038;583.66;2;2016517528070656186;B
20241028;100038;583.66;1;2016517528070656187;B
20241028;100038;583.67;1;2016517528070656192;B
20241028;100038;583.72;1;2016517528070656193;B
20241028;100038;583.72;1;2016517528070656194;B
20241028;100038;583.75;1;2016517528070656195;B
20241028;100039;583.72;1;2016517528070656196;B
20241028;100039;583.75;5;2016517528070656201;B
20241028;100039;583.76;1;2016517528070656202;B
20241028;100039;583.78;1;2016517528070656203;B
20241028;100039;583.78;1;2016517528070656208;B
20241028;100039;583.78;1;2016517528070656213;B
20241028;100039;583.8;1;2016517528070656218;B
20241028;100039;583.8;1;2016517528070656219;B
20241028;100039;583.87;1;2016517528070656220;S
20241028;100039;583.87;1;2016517528070656221;S
20241028;100040;583.95;1;2016517528070656222;B
20241028;100040;583.99;25;2016517528070656223;B
20241028;100040;583.99;1;2016517528070656224;B
20241028;100040;583.99;1;2016517528070656225;S
20241028;100040;583.99;1;2016517528070656226;S
20241028;100043;583.99;22;2016517528070656227;S
20241028;100044;583.99;100;2016517528070656228;S
20241028;100047;584;1;2016517528070656230;B
20241028;100047;584;1;2016517528070656235;B
20241028;100047;584;2;2016517528070656240;B
20241028;100047;584;1;2016517528070656245;B
20241028;100047;584;1;2016517528070656250;B
20241028;100047;584;1;2016517528070656255;B
