<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240514;095950;3090;7;10355697705;S
20240514;095950;3090;7;10355697706;S
20240514;095950;3090;2;10355697707;S
20240514;095950;3090;1;10355697708;S
20240514;095950;3090;5;10355697709;S
20240514;095950;3090;81;10355697710;S
20240514;095950;3090;20;10355697711;S
20240514;095950;3090;1;10355697712;S
20240514;095950;3090;1;10355697713;S
20240514;095950;3090;1;10355697714;S
20240514;095950;3090;2;10355697715;S
20240514;095950;3090;10;10355697716;S
20240514;095950;3090;1;10355697717;S
20240514;095950;3090;50;10355697718;S
20240514;095950;3090;1;10355697719;S
20240514;095950;3090;910;10355697720;S
20240514;095950;3090;6;10355697721;S
20240514;095950;3090;2;10355697722;S
20240514;095950;3090;1;10355697723;S
20240514;095950;3090;3;10355697724;S
20240514;095950;3090;10;10355697725;B
20240514;095950;3090;10;10355697726;B
20240514;095950;3090;1;10355697727;B
20240514;095950;3090;20;10355697728;B
20240514;095950;3090;2;10355697729;B
20240514;095950;3090;1;10355697730;B
20240514;095950;3090;1;10355697731;B
20240514;095950;3090;10;10355697732;B
20240514;095950;3090;1;10355697733;B
20240514;095950;3090;4;10355697734;S
20240514;095950;3090;3;10355697735;B
20240514;095950;3090;6;10355697736;B
20240514;095950;3090;1;10355697737;B
20240514;095950;3090;2;10355697738;S
20240514;095950;3090;1;10355697739;S
20240514;095950;3090;88;10355697740;B
20240514;095950;3090;109;10355697741;B
20240514;095950;3090;3;10355697742;B
20240514;095950;3090;20;10355697743;S
20240514;095950;3090;200;10355697744;B
20240514;095950;3090;2;10355697745;B
20240514;095950;3090;10;10355697746;B
20240514;095950;3090;4;10355697747;B
20240514;095950;3090;40;10355697748;B
20240514;095950;3090;1;10355697749;B
20240514;095950;3090;1;10355697750;B
20240514;095950;3090;5;10355697751;B
20240514;095950;3090;100;10355697752;B
20240514;095950;3090;234;10355697753;B
20240514;095950;3090;800;10355697754;B
20240514;095950;3090;50;10355697755;B
20240514;095950;3090;1;10355697756;B
20240514;095950;3090;35;10355697757;B
20240514;095950;3090;302;10355697758;B
20240514;095950;3090;89;10355697759;B
20240514;095950;3090;1;10355697760;B
20240514;095950;3090;8;10355697761;B
20240514;095950;3090;59;10355697762;B
20240514;095950;3090;124;10355697763;S
20240514;100000;3090.5;2;10355700456;B
