<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;216.38;218.64;215.98;216.6;490330;2.66
20231121;000000;216.5;219.9;215;218.9;782360;4.9
20231122;000000;218.6;221.66;217;219;956990;4.66
20231123;000000;218.68;218.7;215.62;216.2;592830;3.08
20231124;000000;215.7;216.8;212.52;214.06;753350;4.28
20231127;000000;213.8;213.88;205.26;208.88;2234740;8.62
20231128;000000;208.48;214.78;206.06;211.74;2130030;8.72
20231129;000000;212.02;213.82;206.72;208.92;537370;7.1
20231130;000000;208.92;209.32;202;203.5;1261490;7.32
20231201;000000;202.9;202.92;188.04;189.84;5784530;14.88
20231204;000000;189.74;190.9;180;180.12;3624510;10.9
20231205;000000;180.5;196.8;180.42;196.5;5201830;16.38
20231206;000000;196.98;198.2;184.1;189.02;3937060;14.1
20231207;000000;188.32;198.56;180.9;195.8;5486140;17.66
20231208;000000;197.78;201;192.06;193.8;3763100;8.94
20231211;000000;193.5;196;186.36;189.06;1852130;9.64
20231212;000000;189.62;194;187.2;189.64;1359540;6.8
20231213;000000;190.88;190.96;188.06;189.84;984650;2.9
20231214;000000;190.14;193.7;184.6;187.94;1530540;9.1
20231215;000000;187.92;195;187.06;194.16;1245790;7.94
20231218;000000;195.2;203.48;194.36;203.46;3507420;9.12
20231219;000000;203.5;204.5;197;200.52;2910780;7.5
20231220;000000;201.2;201.96;197.92;199.18;1485450;4.04
20231221;000000;199;199.46;192.42;197.92;1529600;7.04
20231222;000000;197.5;201.72;196.74;199.72;1399380;4.98
20231225;000000;200.42;205.9;199.8;204.44;3079670;6.1
20231226;000000;204.42;205.3;200;201.2;1852690;5.3
20231227;000000;201.52;204;199.5;200.22;1558640;4.5
20231228;000000;199.92;201;195.62;197.52;1457610;5.38
20231229;000000;197.3;198.24;196.14;197.28;875330;2.1
20240103;000000;198.26;204.5;197.32;204;1153530;7.18
20240104;000000;205.88;219.84;204.92;218.32;8722970;14.92
20240105;000000;218.56;227;216.02;222.38;10179130;10.98
20240108;000000;223;226.2;220.2;221.12;4299830;6
20240109;000000;220.72;222.98;218.5;221.44;2012540;4.48
20240110;000000;221.52;221.98;216.3;217.36;1968400;5.68
20240111;000000;216.46;224.4;216.46;223.4;3763770;7.94
20240112;000000;223.14;224.6;220.5;221.2;1818750;4.1
20240115;000000;221.8;223.5;220.52;222;1523830;2.98
20240116;000000;221.54;232.5;219.2;228.5;8296920;13.3
20240117;000000;229.24;233;226.46;232.5;4513200;6.54
20240118;000000;232.48;234.28;225.2;227.1;3531540;9.08
20240119;000000;226.7;226.92;222.88;224.74;2910110;4.04
20240122;000000;224.82;229.08;222.3;225.2;6156070;6.78
20240123;000000;224.9;228.56;224.38;226.6;1643480;4.18
20240124;000000;226.2;227.76;223.24;223.66;1258840;4.52
20240125;000000;223.66;225.5;221;223.02;2394590;4.5
20240126;000000;222.84;224;221.78;222.1;1114710;2.22
20240129;000000;223.1;226.78;222.3;224.64;1590270;4.48
20240130;000000;225.3;228;224.5;226.64;1449690;3.5
20240131;000000;226.66;228.4;226.12;226.78;1164900;2.28
20240201;000000;227.3;229.98;226.1;226.52;1106360;3.88
20240202;000000;227;227.2;223.62;224.52;876180;3.58
