<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241022;095931;112;10;11323551013;S
20241022;095931;112;70;11323551014;B
20241022;095931;112;10;11323551015;B
20241022;095931;112;130;11323551016;B
20241022;095931;112;60;11323551017;B
20241022;095931;112;70;11323551018;B
20241022;095931;112;20;11323551019;S
20241022;100003;112.02;10;11323562277;S
20241022;100004;112.2;10;11323562895;B
20241022;100004;112.2;10;11323563598;B
20241022;100004;112.24;10;11323563706;B
20241022;100004;112.26;10;11323564383;B
20241022;100005;112.22;10;11323565192;B
20241022;100005;112.08;10;11323565229;S
20241022;100005;112.22;190;11323565754;B
20241022;100005;112.24;210;11323565755;B
20241022;100005;112.24;20;11323565890;B
20241022;100006;112.22;10;11323566388;B
20241022;100010;112.18;20;11323568108;S
20241022;100010;112.22;20;11323568220;B
20241022;100010;112.22;10;11323568221;B
20241022;100021;112.18;10;11323571371;B
20241022;100027;112.1;4410;11323572730;S
20241022;100027;112.08;10;11323572731;S
20241022;100027;112.08;10;11323572732;S
20241022;100027;112.04;10;11323572733;S
20241022;100027;112.02;490;11323572734;S
20241022;100027;112;7070;11323572735;S
20241022;100030;112;890;11323573400;S
20241022;100030;112.04;150;11323573423;B
20241022;100031;112;130;11323573516;S
20241022;100031;112.04;4410;11323573523;S
20241022;100031;112.04;1020;11323573527;S
20241022;100031;112;1990;11323574243;S
20241022;100031;112;1290;11323574244;S
20241022;100032;111.9;10;11323574344;S
20241022;100032;111.94;20;11323574374;B
20241022;100032;111.9;20;11323574379;S
20241022;100033;111.84;150;11323574585;S
20241022;100033;111.84;10;11323574586;S
20241022;100034;111.82;1040;11323574693;S
20241022;100034;111.82;1420;11323574796;S
20241022;100034;111.82;1960;11323574797;S
20241022;100034;111.82;3390;11323574799;S
20241022;100035;111.8;10;11323574979;S
20241022;100035;111.8;50;11323574980;S
20241022;100035;111.8;120;11323574981;S
20241022;100038;111.72;20;11323575896;S
20241022;100038;111.72;10;11323575906;S
20241022;100038;111.7;70;11323575907;S
20241022;100038;111.7;30;11323575923;S
20241022;100038;111.7;200;11323575949;S
20241022;100039;111.68;10;11323576292;S
20241022;100040;111.66;10;11323576425;S
20241022;100040;111.66;200;11323576426;S
20241022;100040;111.62;10;11323576427;S
20241022;100040;111.6;180;11323576428;S
20241022;100041;111.62;10;11323576711;S
20241022;100041;111.6;40;11323576712;S
20241022;100041;111.66;150;11323576751;B
20241022;100043;111.6;320;11323577133;S
20241022;100049;111.64;10;11323578307;B
20241022;100049;111.64;30;11323578308;B
20241022;100049;111.64;220;11323578310;B
20241022;100053;111.76;200;11323579063;S
20241022;100053;111.68;10;11323579064;S
20241022;100053;111.66;370;11323579065;S
20241022;100053;111.64;180;11323579066;S
20241022;100053;111.62;200;11323579067;S
20241022;100053;111.62;150;11323579068;S
20241022;100053;111.62;940;11323579069;B
20241022;100055;111.8;10;11323579427;B
20241022;100055;111.82;390;11323579428;B
20241022;100135;111.82;10;11323587762;B
20241022;100139;111.82;10;11323588656;B
20241022;100140;111.82;40;11323588689;B
20241022;100140;111.82;10;11323588690;B
20241022;100140;111.86;150;11323588691;B
20241022;100149;111.86;10;11323590593;B
20241022;100154;111.86;150;11323591696;B
20241022;100201;111.86;10;11323593099;B
20241022;100202;111.86;50;11323593306;B
