<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240516;095950;0.02328;50000;10379473310;S
20240516;095950;0.02328;10000;10379473311;S
20240516;095950;0.02328;60000;10379473312;S
20240516;095950;0.02328;40000;10379473313;S
20240516;095950;0.02328;10000;10379473314;S
20240516;095950;0.02328;80000;10379473315;S
20240516;095950;0.02328;3860000;10379473316;S
20240516;095950;0.02328;10000;10379473317;S
20240516;095950;0.02328;10000;10379473318;S
20240516;095950;0.02328;1000000;10379473319;S
20240516;095950;0.02328;10000;10379473320;S
20240516;095950;0.02328;430000;10379473321;S
20240516;095950;0.02328;30000;10379473322;S
20240516;095950;0.02328;10000;10379473323;S
20240516;095950;0.02328;540000;10379473324;S
20240516;095950;0.02328;150000;10379473325;S
20240516;095950;0.02328;10000;10379473326;S
20240516;095950;0.02328;70000;10379473327;S
20240516;095950;0.02328;60000;10379473328;B
20240516;095950;0.02328;40000;10379473329;B
20240516;095950;0.02328;40000;10379473330;B
20240516;095950;0.02328;400000;10379473331;B
20240516;095950;0.02328;5330000;10379473332;S
20240516;095950;0.02328;30000;10379473333;S
20240516;095950;0.02328;10000;10379473334;S
20240516;095950;0.02328;540000;10379473335;S
20240516;095950;0.02328;50000;10379473336;B
20240516;095950;0.02328;170000;10379473337;S
20240516;095950;0.02328;400000;10379473338;B
20240516;095950;0.02328;30000;10379473339;B
20240516;095950;0.02328;130000;10379473340;B
20240516;095950;0.02328;470000;10379473341;B
20240516;095950;0.02328;10000;10379473342;B
20240516;095950;0.02328;10000;10379473343;B
20240516;095950;0.02328;150000;10379473344;B
20240516;095950;0.02328;10000;10379473345;B
20240516;095950;0.02328;3000000;10379473346;S
20240516;095950;0.02328;10000;10379473347;B
20240516;095950;0.02328;10000;10379473348;B
20240516;095950;0.02328;10000;10379473349;B
20240516;095950;0.02328;10000;10379473350;B
20240516;095950;0.02328;20000;10379473351;B
20240516;095950;0.02328;10000;10379473352;B
20240516;095950;0.02328;20000;10379473353;B
20240516;095950;0.02328;40000;10379473354;B
20240516;095950;0.02328;10000;10379473355;B
20240516;095950;0.02328;20000;10379473356;B
20240516;095950;0.02328;50000;10379473357;B
20240516;095950;0.02328;10000;10379473358;B
20240516;095950;0.02328;50000;10379473359;B
20240516;095950;0.02328;10000;10379473360;B
20240516;095950;0.02328;10000;10379473361;B
20240516;095950;0.02328;20000;10379473362;B
20240516;095950;0.02328;30000;10379473363;B
20240516;095950;0.02328;10000;10379473364;B
20240516;095950;0.02328;6000000;10379473365;S
20240516;095950;0.02328;30000;10379473366;S
20240516;095950;0.02328;60000;10379473367;S
20240516;095950;0.02328;2370000;10379473368;S
20240516;095950;0.02328;60000;10379473369;B
20240516;095950;0.02328;10000;10379473370;B
20240516;095950;0.02328;10000;10379473371;B
20240516;095950;0.02328;50000;10379473372;B
20240516;095950;0.02328;30000;10379473373;B
20240516;095950;0.02328;10000;10379473374;B
20240516;095950;0.02328;30000;10379473375;B
20240516;095950;0.02328;50000;10379473376;B
20240516;095950;0.02328;10000;10379473377;S
20240516;095950;0.02328;1000000;10379473378;B
20240516;095950;0.02328;10000;10379473379;B
20240516;095950;0.02328;50000;10379473380;B
20240516;095950;0.02328;10000;10379473381;S
20240516;095950;0.02328;1000000;10379473382;S
20240516;095950;0.02328;10000;10379473383;S
20240516;095950;0.02328;10000;10379473384;B
20240516;095950;0.02328;10000;10379473385;B
20240516;095950;0.02328;50000;10379473386;B
