<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240506;095932;4250;5;10278920409;S
20240506;095932;4250;1;10278920410;S
20240506;095932;4250;1;10278920411;S
20240506;095932;4250;20;10278920412;S
20240506;095932;4250;11;10278920413;S
20240506;095932;4250;3;10278920414;S
20240506;095932;4250;3;10278920415;S
20240506;095932;4250;2;10278920416;S
20240506;095932;4250;1;10278920417;S
20240506;095932;4250;3;10278920418;S
20240506;095932;4250;7;10278920419;S
20240506;095932;4250;48;10278920420;S
20240506;095932;4250;5;10278920421;S
20240506;095932;4250;35;10278920422;S
20240506;095932;4250;1;10278920423;S
20240506;095932;4250;5;10278920424;S
20240506;095932;4250;6;10278920425;S
20240506;095932;4250;94;10278920426;S
20240506;095932;4250;1;10278920427;S
20240506;095932;4250;36;10278920428;S
20240506;095932;4250;2;10278920429;S
20240506;095932;4250;1;10278920430;B
20240506;095932;4250;5;10278920431;S
20240506;095932;4250;10;10278920432;B
20240506;095932;4250;10;10278920433;S
20240506;095932;4250;2;10278920434;S
20240506;095932;4250;1;10278920435;S
20240506;095932;4250;1;10278920436;S
20240506;095932;4250;2;10278920437;S
20240506;095932;4250;20;10278920438;S
20240506;095932;4250;2;10278920439;B
20240506;095932;4250;89;10278920440;B
20240506;095932;4250;50;10278920441;B
20240506;095932;4250;50;10278920442;B
20240506;095932;4250;7;10278920443;B
20240506;095932;4250;1;10278920444;B
20240506;095932;4250;21;10278920445;B
20240506;095932;4250;1;10278920446;S
20240506;095932;4250;1;10278920447;B
20240506;095932;4250;1;10278920448;B
20240506;095932;4250;24;10278920449;B
20240506;095932;4250;6;10278920450;B
20240506;095932;4250;10;10278920451;B
20240506;095932;4250;5;10278920452;B
20240506;095932;4250;1;10278920453;B
20240506;095932;4250;100;10278920454;B
20240506;095932;4250;50;10278920455;B
20240506;095932;4250;5;10278920456;B
20240506;095932;4250;30;10278920457;B
20240506;095932;4250;5;10278920458;B
20240506;095932;4250;1;10278920459;S
20240506;095932;4250;2;10278920460;B
20240506;095932;4250;2;10278920461;B
20240506;095932;4250;2;10278920462;B
20240506;095932;4250;1;10278920463;B
20240506;095932;4250;37;10278920464;B
20240506;095932;4250;3;10278920465;B
20240506;095932;4250;1;10278920466;B
20240506;095932;4250;20;10278920467;B
20240506;095932;4250;20;10278920468;B
20240506;095932;4250;10;10278920469;B
20240506;095932;4250;2;10278920470;B
20240506;095932;4250;2;10278920471;B
20240506;095932;4250;1;10278920472;B
20240506;095932;4250;5;10278920473;B
20240506;095932;4250;3;10278920474;B
20240506;095932;4250;2;10278920475;B
20240506;095932;4250;44;10278920476;B
20240506;095932;4250;1;10278920477;B
20240506;095932;4250;1;10278920478;B
20240506;095932;4250;4;10278920479;B
